EntrezID	Gene_Name	X0h	1h	2h	3h	4h	5h	6h	8h	12h	18h	24h
1906	EDN1	0	1.07401	1.8055	2.02809	2.13794	2.26406	1.71494	1.7916	1.61813	1.50502	1.17527
3576	IL8	0	1.13644	2.29689	2.29846	2.42554	2.18994	1.70784	1.15463	0.693118	0.120006	-0.244394
3576	IL8	0	0.863563	2.1558	2.11885	1.93391	2.06911	1.71181	1.40466	0.657148	0.0318077	-0.478802
7037	TFRC	0	-0.733564	-1.365	-0.883716	-1.02285	-1.44095	-1.1813	-0.765679	-0.702433	-0.785918	-0.811082
7128	TNFAIP3	0	0.539032	1.00805	1.56857	1.50527	1.35383	0.784803	0.925103	0.535939	0.343381	0.239386
388585	HES5	0	0.381174	0.825605	0.853276	0.615472	1.00104	0.993323	1.25719	1.1886	0.827705	0.541172
5329	PLAUR	0	0.549459	0.626578	1.25271	0.923655	1.02297	1.11877	0.827645	0.684932	0.802613	0.584906
5329	PLAUR	0	0.0226016	0.548468	1.3688	1.21812	1.20934	1.07555	0.89611	0.295256	0.531374	0.48771
3553	IL1B	0	0.0440511	0.65554	1.1196	0.981582	1.25644	0.998344	0.944253	0.797362	0.539154	0.212028
6876	TAGLN	0	0.308286	0.191174	0.264125	0.77279	1.14387	0.674118	0.814189	1.23193	0.865612	1.22019
1848	DUSP6	0	-1.57035	-1.03263	-0.295268	-0.230977	-0.318833	-0.566614	-0.283074	-0.239206	-0.0991286	-0.363545
1843	DUSP1	0	0.206797	0.484209	1.17795	0.748721	1.03827	0.524258	0.573612	0.522481	0.677336	0.599186
7124	TNF	0	0.792848	1.15929	1.19641	0.89235	0.694498	0.361237	0.400959	0.0524803	-0.450925	-0.110474
22943	DKK1	0	0.16984	0.885676	0.53004	0.686632	0.906276	0.805483	0.598124	0.311394	0.183177	0.0335413
