EntrezID	Gene_Name	0h	1h	2h	3h	4h	5h	6h	7h	8h	9h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	20h	21h	22h	23h	24h
1906	EDN1	-1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0
3576	IL8	-1	0	1	1	1	1	1	1	1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3576	IL8	0	0	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7037	TFRC	0	0	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7128	TNFAIP3	0	0	0	1	1	1	1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
388585	HES5	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
5329	PLAUR	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0
5329	PLAUR	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0
3553	IL1B	0	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	-1	-1	-1	-1
6876	TAGLN	0	-1	-1	-1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1848	DUSP6	0	-1	-1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1843	DUSP1	0	-1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7124	TNF	0	0	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22943	DKK1	0	-1	1	0	1	1	1	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
